Memory size: 128, Concurrent number: 2, FileSize: 7.000000
Stats Metrics,Latency of GetObject(File Size: 64 KB)
avg,0.045205
min,0.014876
p25,0.020015
p50,0.024902
p75,0.059691
p90,0.085144
p99,0.163815
max,0.165875
