Memory size: 128, Concurrent number: 2
TotalSizeInBytes,Latency
28,0.982173397521052
26,0.9008171548781552
26,0.7343663185348488
25,0.5315801566304491
23,0.41083105223165706
21,0.37781719105105976
21,0.36966950607973015
20,0.35050181620269416
18,0.22959102978933107
15,0.21478586819066556
11,0.19182473737438618
10,0.14740354887800736
