Memory size: 128, Concurrent number: 2, FileSize: 7.000000
Stats Metrics,Latency of GetObject(File Size: 64 KB)
avg,0.045205
min,0.014876
p25,0.020015
p50,0.024902
p75,0.059691
p90,0.085144
p99,0.163815
max,0.165875
Memory size: 128, Concurrent number: 2, FileSize: 8.000000
Stats Metrics,Latency of GetObject(File Size: 128 KB)
avg,0.063555
min,0.016371
p25,0.033463
p50,0.040619
p75,0.079148
p90,0.100546
p99,0.288790
max,0.347156
Memory size: 128, Concurrent number: 2, FileSize: 9.000000
Stats Metrics,Latency of GetObject(File Size: 256 KB)
avg,0.200202
min,0.020956
p25,0.042021
p50,0.078848
p75,0.099954
p90,0.989877
p99,1.121855
max,1.154931
