Memory size: 128, Concurrent number: 2, FileSize: 9.000000
Stats Metrics,Latency of GetObject(File Size: 256 KB)
avg,0.200202
min,0.020956
p25,0.042021
p50,0.078848
p75,0.099954
p90,0.989877
p99,1.121855
max,1.154931
